"","idmen","year","datent","myear","mstatus","move","location"
"1","3005464102990100",2016,2000,NA,"Single",1,"Paris"
"2","3105464011670100",2016,1998,NA,"Couple, with Kids",NA,"Paris"
"3","3005464067860100",2016,2002,NA,"Single",1,"Paris"
"4","3105464067860100",2016,2006,NA,"Single",NA,"Paris"
"5","2405464073620100",2016,1982,NA,"Couple, No kids",1,"Paris"
"6","3005464073620100",2016,1994,NA,"Single Parent",1,"Paris"
"7","2405464032540100",2016,2015,NA,"Couple, No kids",2,"Paris"
"8","2405464032540101",2016,2011,NA,"Single",1,"Paris"
"9","2605464108800100",2016,2014,NA,"Couple, with Kids",1,"Urban 200000 to 1999999"
"10","3005464108800100",2016,2003,NA,"Couple, with Kids",1,"Paris"
"11","2805464017600100",2016,2006,NA,"Single",1,"Paris"
"12","3105464017600100",2016,2015,NA,"Single",NA,"Paris"
"13","3005464089680100",2016,2016,NA,"Couple, No kids",2,"Paris"
"14","3105464040580100",2016,1984,NA,"Couple, No kids",NA,"Paris"
"15","3105464057410100",2016,1989,NA,"Single Parent",NA,"Paris"
"16","2505464020540100",2016,1993,NA,"Single",1,"Paris"
"17","3105464094370100",2016,1997,NA,"Couple, with Kids",NA,"Paris"
"18","3005464020920100",2016,2002,NA,"Couple, No kids",1,"Paris"
"19","3005464016060100",2016,2009,NA,"Single Parent",1,"Paris"
"20","3105464016060100",2016,2006,NA,"Single",NA,"Paris"
"21","2905464020060100",2016,1977,NA,"Single",1,"Paris"
"22","3005464082030100",2016,1965,NA,"Couple, No kids",1,"Paris"
"23","3105464017070100",2016,2013,NA,"Couple, with Kids",NA,"Paris"
"24","2805464101960100",2016,2000,NA,"Single",1,"Paris"
"25","3005464101960100",2016,2004,NA,"Couple, with Kids",1,"Paris"
"26","3105464101960100",2016,1994,NA,"Single",NA,"Paris"
"27","3105464051020100",2016,2005,NA,"Couple, with Kids",NA,"Paris"
"28","2805464126670100",2016,2016,NA,"Single",2,"Paris"
"29","3105464126670100",2016,2007,NA,"Single",NA,"Paris"
"30","2705464026420100",2016,1969,NA,"Other",1,"Paris"
"31","2505464115750100",2016,2004,NA,"Couple, with Kids",1,"Paris"
"32","2305464042350100",2016,2009,NA,"Couple, with Kids",1,"Paris"
"33","3005464092030100",2016,2007,NA,"Single",1,"Paris"
"34","3005464082450100",2016,2006,NA,"Couple, with Kids",1,"Paris"
"35","2605464014970100",2016,2013,NA,"Single",1,"Paris"
"36","2505464103840100",2016,2010,NA,"Couple, with Kids",1,"Paris"
