"","idind","idmen","year","empstat","respondent","profession","gender","age","wage"
"1","1120001004058010001","1200010040580100",2005,"Inactive",1,"","Female",31,12334
"2","1120001004058010002","1200010040580100",2005,"Inactive",0,"","Female",10,NA
"3","1120001006663010001","1200010066630100",2005,"Employed",1,"38","Male",32,50659
"4","1120001006663010002","1200010066630100",2005,"Employed",0,"45","Female",28,19231
"5","1120001008245010001","1200010082450100",2005,"Retired",1,"","Female",90,0
"6","1120001008644010001","1200010086440100",2005,"Employed",1,"34","Male",37,31511
"7","1120001008644010002","1200010086440100",2005,"Employed",0,"42","Female",35,24873
"8","1120001010299010001","1200010102990100",2005,"Employed",1,"55","Female",41,30080
"9","1120001010299010002","1200010102990100",2005,"Inactive",0,"","Female",16,0
"10","1120001011845010001","1200010118450100",2005,"Employed",1,"37","Male",55,43296
"11","1120001011845010002","1200010118450100",2005,"Employed",0,"54","Female",55,20426
"12","1120002001293010001","1200020012930100",2005,"Employed",1,"11","Male",57,0
"13","1120002001293010002","1200020012930100",2005,"Employed",0,"11","Female",52,0
"14","1120002001293010003","1200020012930100",2005,"Retired",0,"","Female",82,NA
"15","1120002001293010004","1200020012930100",2005,"Employed",0,"","Male",50,NA
"16","1120002001739010001","1200020017390100",2005,"Employed",1,"11","Male",51,0
"17","1120002002642010001","1200020026420100",2005,"Employed",1,"11","Male",47,0
"18","1120002002642010002","1200020026420100",2005,"Employed",0,"","Male",39,NA
"19","1120002004513010001","1200020045130100",2005,"Employed",1,"34","Female",55,49240
"20","1120002004513010002","1200020045130100",2005,"Inactive",0,"","Male",17,0
"21","1120002009437010001","1200020094370100",2005,"Employed",1,"22","Male",41,15005
"22","1120002009437010002","1200020094370100",2005,"Employed",0,"34","Female",39,35192
"23","1120002009437010003","1200020094370100",2005,"Inactive",0,"","Male",7,NA
"24","1120002009437010004","1200020094370100",2005,"Inactive",0,"","Female",5,NA
"25","1120002011845010001","1200020118450100",2005,"Retired",1,"","Male",80,0
"26","1120002012268010001","1200020122680100",2005,"Employed",1,"45","Male",30,22852
"27","1120002012268010002","1200020122680100",2005,"Inactive",0,"","Female",32,1832
"28","1120002012268010003","1200020122680100",2005,"Inactive",0,"","Female",4,NA
"29","1120014901293010001","1200149012930100",2005,"Employed",1,"46","Male",42,28247
"30","1120014901293010002","1200149012930100",2005,"Employed",0,"55","Female",36,21134
"31","1120014901293010003","1200149012930100",2005,"Inactive",0,"","Female",14,NA
"32","1120014901293010004","1200149012930100",2005,"Inactive",0,"","Female",9,NA
"33","1120014903471010001","1200149034710100",2005,"Retired",1,"","Female",69,0
"34","1120014905753010001","1200149057530100",2005,"Retired",1,"","Male",75,0
"35","1120014905753010002","1200149057530100",2005,"Retired",0,"","Female",76,0
"36","1120014907362010001","1200149073620100",2005,"Retired",1,"","Male",74,0
"37","1120014909940010001","1200149099400100",2005,"Retired",1,"","Female",51,0
"38","1120014909940010002","1200149099400100",2005,"Unemployed",0,"","Male",41,0
"39","1120017701262010001","1200177012620100",2005,"Employed",1,"48","Male",56,21051
"40","1120017701262010002","1200177012620100",2005,"Employed",0,"54","Female",54,16168
"41","1120017701262010003","1200177012620101",2005,"Employed",0,"63","Male",27,19688
"42","1120017701262010004","1200177012620102",2005,"Employed",0,"54","Female",31,11666
"43","1120017701293010001","1200177012930100",2005,"Retired",1,"","Male",70,0
"44","1120017701293010002","1200177012930100",2005,"Retired",0,"","Female",70,0
"45","1120017701575010001","1200177015750100",2005,"Inactive",1,"","Male",47,20288
"46","1120017702385010001","1200177023850100",2005,"Retired",1,"","Female",80,0
"47","1120017708750010001","1200177087500100",2005,"Inactive",1,"","Female",35,0
"48","1120017708750010002","1200177087500100",2005,"Inactive",0,"","Female",15,NA
"49","1120017708750010003","1200177087500100",2005,"Inactive",0,"","Female",11,NA
"50","1120017708750010004","1200177087500100",2005,"Inactive",0,"","Female",7,NA
"51","1120017708750010005","1200177087500100",2005,"Inactive",0,"","Female",6,NA
"52","1120017708750010006","1200177087500100",2005,"Unemployed",0,"","Male",38,0
"53","1120017710299010001","1200177102990100",2005,"Retired",1,"","Male",76,0
"54","1120017710299010002","1200177102990100",2005,"Inactive",0,"","Female",74,0
"55","1120033902054010001","1200339020540100",2005,"Employed",1,"68","Female",59,9964
"56","1120033902054010002","1200339020540100",2005,"Retired",0,"","Male",66,0
"57","1120033902054010003","1200339020540100",2005,"Employed",0,"68","Male",39,17687
"58","1120033902642010001","1200339026420100",2005,"Retired",1,"","Male",78,0
"59","1120033902642010002","1200339026420100",2005,"Retired",0,"","Female",75,0
"60","1120033908203010001","1200339082030100",2005,"Employed",1,"54","Female",43,15678
"61","1120033908203010002","1200339082030100",2005,"Employed",0,"34","Male",50,22166
"62","1120033908203010003","1200339082030100",2005,"Inactive",0,"","Female",18,997
"63","1120033908203010004","1200339082030100",2005,"Inactive",0,"","Female",14,NA
"64","1120033908203010005","1200339082030100",2005,"Inactive",0,"","Male",4,NA
"65","1120033908411010001","1200339084110100",2005,"Employed",1,"53","Male",54,17963
"66","1120033908411010002","1200339084110100",2005,"Employed",0,"52","Female",47,26430
"67","1120033908411010003","1200339084110100",2005,"Inactive",0,"55","Female",20,3922
"68","1120033910880010001","1200339108800100",2005,"Inactive",1,"","Female",65,0
"69","1120033910880010002","1200339108800101",2005,"Employed",0,"54","Female",36,13237
"70","1120033910880010003","1200339108800101",2005,"Employed",0,"21","Male",38,0
"71","1120033910880010004","1200339108800101",2005,"Inactive",0,"","Male",11,NA
"72","1120033910880010005","1200339108800101",2005,"Inactive",0,"","Male",6,NA
"73","1120033911575010001","1200339115750100",2005,"Employed",1,"54","Female",21,15521
"74","1120033911575010003","1200339115750100",2005,"Inactive",0,"","Male",0,NA
"75","1120044301804010001","1200443018040100",2005,"Employed",1,"21","Male",52,0
"76","1120044301804010002","1200443018040100",2005,"Retired",0,"","Female",60,0
"77","1120044305741010001","1200443057410100",2005,"Inactive",1,"","Male",56,0
"78","1120044305741010002","1200443057410100",2005,"Unemployed",0,"","Female",53,0
"79","1120044307873010001","1200443078730100",2005,"Employed",1,"62","Female",54,19080
"80","1120044309550010001","1200443095500100",2005,"Employed",1,"37","Female",58,36633
"81","1120049301027010001","1200493010270100",2005,"Unemployed",1,"","Female",37,0
"82","1120049301027010002","1200493010270100",2005,"Unemployed",0,"","Male",32,1676
"83","1120049301027010003","1200493010270100",2005,"Inactive",0,"","Female",9,NA
"84","1120049301027010004","1200493010270100",2005,"Inactive",0,"","Female",9,NA
"85","1120049302385010001","1200493023850100",2005,"Employed",1,"55","Male",39,19534
"86","1120049302385010002","1200493023850100",2005,"Employed",0,"55","Female",33,15133
"87","1120049302385010003","1200493023850100",2005,"Inactive",0,"","Female",10,NA
"88","1120049302385010004","1200493023850100",2005,"Inactive",0,"","Female",8,NA
"89","1120049304412010001","1200493044120100",2005,"Retired",1,"","Female",59,10973
"90","1120049305231010001","1200493052310100",2005,"Unemployed",1,"","Male",38,2198
"91","1120049308968010001","1200493089680100",2005,"Retired",1,"","Female",72,0
"92","1120049310658010001","1200493106580100",2005,"Employed",1,"55","Female",38,19876
"93","1120049310658010002","1200493106580100",2005,"Inactive",0,"","Male",16,0
"94","1120049310658010003","1200493106580100",2005,"Inactive",0,"","Female",5,NA
"95","1120049602006010001","1200496020060100",2005,"Retired",1,"","Female",71,0
"96","1120049603471010001","1200496034710100",2005,"Inactive",1,"34","Female",22,14194
"97","1120049603937010001","1200496039370100",2005,"Retired",1,"","Female",84,0
"98","1120049607873010001","1200496078730100",2005,"Employed",1,"31","Male",50,0
"99","1120049607873010002","1200496078730100",2005,"Employed",0,"","Female",50,NA
"100","1120049607873010003","1200496078730100",2005,"Inactive",0,"","Female",16,NA
"101","1120049607873010004","1200496078730100",2005,"Inactive",0,"","Female",13,NA
"102","1120049607873010005","1200496078730100",2005,"Inactive",0,"","Male",11,NA
"103","1120049609939010001","1200496099390100",2005,"Employed",1,"46","Male",48,25750
"104","1120049609939010002","1200496099390100",2005,"Employed",0,"63","Female",51,7484
"105","1120049609939010003","1200496099390100",2005,"Inactive",0,"","Female",12,NA
"106","1120049610196010001","1200496101960100",2005,"Employed",1,"48","Male",57,36190
"107","1120049610196010002","1200496101960100",2005,"Employed",0,"56","Female",50,18332
"108","1120049612268010001","1200496122680100",2005,"Employed",1,"42","Male",28,23009
"109","1120049612268010002","1200496122680100",2005,"Employed",0,"43","Female",27,9898
"110","1120052801316010001","1200528013160100",2005,"Employed",1,"46","Female",24,19065
"111","1120052801707010001","1200528017070100",2005,"Employed",1,"63","Male",28,24443
"112","1120052801707010002","1200528017070100",2005,"Inactive",0,"","Female",24,0
"113","1120052801707010003","1200528017070100",2005,"Inactive",0,"","Male",0,NA
"114","1120052803959010001","1200528039590100",2005,"Inactive",1,"","Female",72,0
